                                                                         
             Relative           Isotopic      Standard                   
Isotope      Atomic Mass        Composition   Atomic Weight    Notes     
_________________________________________________________________________
1   H   1    1.00782503223(9)   0.999885(70)  [1.00784,1.00811]  m
    D   2    2.01410177812(12)  0.000115(70)
    T   3    3.0160492779(24)               
    H   4    4.02643(11)                    
        5    5.035311(96)                   
        6    6.04496(27)                    
        7    7.0527(11#)  

6   C   8    8.037643(20)                     [12.0096,12.0116]   
        9    9.0310372(23)                  
        10   10.01685331(42)                
        11   11.0114336(10)                 
        12   12.0000000(00)     0.9893(8)   
        13   13.00335483507(23)  0.0107(8)   
        14   14.0032419884(40)              
        15   15.01059926(86)                
        16   16.0147013(38)                 
        17   17.022577(19)                  
        18   18.026751(32)                  
        19   19.03480(11)                   
        20   20.04032(26)                   
        21   21.04900(43#)                  
        22   22.05753(26)                   
        23   23.0689(11#)         
                  
8   O   12   12.034262(26)                    [15.99903,15.99977]   
        13   13.024815(10)                  
        14   14.00859636(12)                
        15   15.00306562(53)                
        16   15.99491461957(17)  0.99757(16) 
        17   16.99913175650(69)  0.00038(1)  
        18   17.99915961286(76)  0.00205(14) 
        19   19.0035780(28)                 
        20   20.00407535(95)                
        21   21.008655(13)                  
        22   22.009966(61)                  
        23   23.015696(97)                  
        24   24.01986(12)                   
        25   25.02936(12)                   
        26   26.03729(17)                   
        27   27.04772(54#)                  
        28   28.05591(75#)  

7   N   10   10.04165(43)                     [14.00643,14.00728]   
        11   11.026091(50)                  
        12   12.0186132(11)                 
        13   13.00573861(29)                
        14   14.00307400443(20)  0.99636(20) 
        15   15.00010889888(64)  0.00364(20) 
        16   16.0061019(25)                 
        17   17.008449(16)                  
        18   18.014078(20)                  
        19   19.017022(18)                  
        20   20.023366(60)                  
        21   21.02711(10)                   
        22   22.03439(21)                   
        23   23.04114(32#)                  
        24   24.05039(43#)                  
        25   25.06010(54#)    

16  S   26   26.02907(64#)                    [32.059,32.076]   
        27   27.01828(43#)                  
        28   28.00437(17)                   
        29   28.996611(54)                  
        30   29.98490703(40)                
        31   30.97955701(25)                
        32   31.9720711744(14)  0.9499(26)  
        33   32.9714589098(15)  0.0075(2)   
        34   33.967867004(47)   0.0425(24)  
        35   34.969032310(43)               
        36   35.96708071(20)    0.0001(1)   
        37   36.97112551(21)                
        38   37.9711633(77)                 
        39   38.975134(54)                  
        40   39.9754826(43)                 
        41   40.9795935(44)                 
        42   41.9810651(30)                 
        43   42.9869076(53)                 
        44   43.9901188(56)                 
        45   44.99572(74)                   
        46   46.00004(54#)                  
        47   47.00795(54#)                  
        48   48.01370(64#)                  
        49   49.02276(72#)                       
